PMM_CURVE_DATA
          P,         MX,         MY,
  59051.403,      0.000,      0.000,
  59051.403,      0.000,      0.000,
  58423.240,   -259.184,   -149.640,
  57735.745,   -530.896,   -306.513,
  56998.296,   -815.839,   -471.025,
  56213.414,  -1114.877,   -643.674,
  55375.685,  -1428.861,   -824.954,
  54475.333,  -1758.532,  -1015.289,
  53518.549,  -2105.169,  -1215.420,
  52490.615,  -2469.450,  -1425.738,
  51394.898,  -2852.829,  -1647.082,
  50208.425,  -3255.435,  -1879.526,
  48937.544,  -3679.004,  -2124.074,
  47576.514,  -4124.800,  -2381.454,
  46105.640,  -4592.832,  -2651.673,
  45949.635,  -5247.416,  -3029.597,
  44448.672,  -5813.653,  -3356.514,
  42822.438,  -6416.891,  -3704.794,
  41064.615,  -7061.122,  -4076.741,
  39129.882,  -7743.731,  -4470.845,
  37023.428,  -8470.480,  -4890.434,
  34694.168,  -9234.852,  -5331.744,
  32144.311, -10040.875,  -5797.102,
  29312.589, -10871.330,  -6276.565,
  26189.652, -11716.861,  -6764.733,
  22741.574, -12546.892,  -7243.951,
  18976.832, -13329.636,  -7695.869,
  14917.646, -14011.115,  -8089.321,
  10650.715, -14543.522,  -8396.706,
   6305.039, -14880.641,  -8591.342,
   2043.912, -14988.469,  -8653.597,
  -1975.639, -14987.388,  -8652.972,
  -5710.232, -14920.771,  -8614.511,
  -9094.117, -14717.620,  -8497.222,
 -12100.857, -14425.442,  -8328.533,
 -14748.927, -14089.445,  -8134.545,
 -17065.873, -13730.962,  -7927.574,
 -19099.206, -13374.314,  -7721.664,
 -20891.148, -13030.763,  -7523.315,
 -22455.547, -12692.740,  -7328.157,
 -23844.882, -12376.654,  -7145.665,
 -25085.606, -12082.655,  -6975.924,
 -26192.176, -11806.595,  -6816.541,
 -27186.527, -11549.418,  -6668.060,
 -28080.470, -11308.529,  -6528.982,
 -28899.470, -11087.704,  -6401.489,
 -29642.443, -10880.827,  -6282.048,
 -30315.166, -10685.649,  -6169.362,
 -30936.867, -10505.173,  -6065.165,
 -31513.215, -10337.828,  -5968.548,
 -32045.813, -10181.220,  -5878.130,
 -32535.723, -10033.297,  -5792.727,
 -32991.214,  -9894.574,  -5712.635,
 -33409.219,  -9762.347,  -5636.293,
 -33799.063,  -9637.841,  -5564.410,
 -34165.210,  -9520.918,  -5496.905,
 -34509.484,  -9410.833,  -5433.347,
 -34833.228,  -9306.855,  -5373.315,
 -35138.124,  -9208.477,  -5316.517,
 -35425.564,  -9115.217,  -5262.673,
 -35696.065,  -9026.459,  -5211.429,
 -59218.923,    206.522,    119.236,
 -59218.923,    234.429,      0.000,
 -35500.105,  10372.098,      0.000,
 -35231.644,  10474.252,      0.000,
 -34946.951,  10581.773,      0.000,
 -34643.637,  10694.799,      0.000,
 -34322.379,  10814.511,      0.000,
 -33980.005,  10941.027,      0.000,
 -33615.729,  11075.352,      0.000,
 -33227.856,  11218.380,      0.000,
 -32813.914,  11370.950,      0.000,
 -32363.810,  11531.419,      0.000,
 -31876.533,  11701.446,      0.000,
 -31350.057,  11882.692,      0.000,
 -30776.486,  12074.964,      0.000,
 -30157.843,  12282.341,      0.000,
 -29488.640,  12506.694,      0.000,
 -28753.973,  12746.458,      0.000,
 -27940.523,  13000.983,      0.000,
 -27050.827,  13277.821,      0.000,
 -26066.759,  13576.257,      0.000,
 -24966.435,  13894.221,      0.000,
 -23735.125,  14234.411,      0.000,
 -22354.996,  14599.778,      0.000,
 -20805.872,  14994.548,      0.000,
 -19023.914,  15392.034,      0.000,
 -17007.415,  15810.684,      0.000,
 -14701.176,  16226.522,      0.000,
 -12071.039,  16626.374,      0.000,
  -9076.751,  16972.562,      0.000,
  -5704.513,  17222.493,      0.000,
  -1975.702,  17317.282,      0.000,
   2043.811,  17317.121,      0.000,
   6311.274,  17210.393,      0.000,
  10674.671,  16841.673,      0.000,
  14966.954,  16242.232,      0.000,
  19053.957,  15463.922,      0.000,
  22847.361,  14564.366,      0.000,
  26321.936,  13606.277,      0.000,
  29474.390,  12630.287,      0.000,
  32329.204,  11668.160,      0.000,
  34898.507,  10732.978,      0.000,
  37242.954,   9844.993,      0.000,
  39357.513,   8999.312,      0.000,
  41300.057,   8205.339,      0.000,
  43061.771,   7455.643,      0.000,
  44697.925,   6754.879,      0.000,
  46203.241,   6096.432,      0.000,
  46402.303,   5340.795,      0.000,
  47880.774,   4796.355,      0.000,
  49247.072,   4277.681,      0.000,
  50523.417,   3784.993,      0.000,
  51709.057,   3316.364,      0.000,
  52811.537,   2870.697,      0.000,
  53838.218,   2446.883,      0.000,
  54798.934,   2043.913,      0.000,
  55700.206,   1660.610,      0.000,
  56535.496,   1295.532,      0.000,
  57320.216,    947.960,      0.000,
  58058.033,    616.832,      0.000,
  58746.691,    301.124,      0.000,
  59051.370,      0.000,      0.000,
  59051.370,      0.000,      0.000,
  58403.907,   -299.371,      0.000,
  57712.614,   -613.170,      0.000,
  56977.968,   -942.313,      0.000,
  56190.919,  -1287.653,      0.000,
  55354.763,  -1650.334,      0.000,
  54455.450,  -2031.130,      0.000,
  53500.405,  -2431.563,      0.000,
  52473.297,  -2852.350,      0.000,
  51378.440,  -3295.205,      0.000,
  50193.488,  -3760.327,      0.000,
  48923.703,  -4249.650,      0.000,
  47563.806,  -4764.668,      0.000,
  46094.236,  -5305.410,      0.000,
  45927.351,  -6060.112,      0.000,
  44430.382,  -6714.539,      0.000,
  42805.054,  -7411.296,      0.000,
  41055.444,  -8156.851,      0.000,
  39128.388,  -8947.043,      0.000,
  37031.902,  -9789.335,      0.000,
  34702.530, -10672.850,      0.000,
  32153.360, -11604.852,      0.000,
  29318.558, -12563.681,      0.000,
  26192.158, -13539.376,      0.000,
  22743.159, -14498.138,      0.000,
  18977.656, -15402.207,      0.000,
  14917.922, -16189.242,      0.000,
  10650.686, -16804.060,      0.000,
   6304.931, -17193.330,      0.000,
   2043.869, -17317.848,      0.000,
  -1975.596, -17316.586,      0.000,
  -5710.130, -17239.686,      0.000,
  -9094.032, -17005.106,      0.000,
 -12100.888, -16667.714,      0.000,
 -14749.153, -16279.699,      0.000,
 -17066.372, -15865.708,      0.000,
 -19100.003, -15453.806,      0.000,
 -20892.276, -15057.023,      0.000,
 -22456.987, -14666.586,      0.000,
 -23846.682, -14301.509,      0.000,
 -25088.224, -13962.188,      0.000,
 -26194.929, -13643.196,      0.000,
 -27189.215, -13345.930,      0.000,
 -28083.474, -13067.677,      0.000,
 -28902.992, -12812.691,      0.000,
 -29646.162, -12573.673,      0.000,
 -30318.928, -12348.114,      0.000,
 -30940.886, -12139.630,      0.000,
 -31517.526, -11946.330,      0.000,
 -32050.395, -11765.428,      0.000,
 -32540.403, -11594.498,      0.000,
 -32996.397, -11434.340,      0.000,
 -33414.164, -11281.434,      0.000,
 -33804.213, -11137.603,      0.000,
 -34170.534, -11002.524,      0.000,
 -34515.228, -10875.422,      0.000,
 -34838.842, -10755.206,      0.000,
 -35143.869, -10641.543,      0.000,
 -35432.040, -10533.972,      0.000,
 -35702.034, -10431.238,      0.000,
 -59218.923,    234.429,      0.000,
 -59218.923,    206.522,   -119.236,
 -35492.923,   8974.969,  -5181.701,
 -35224.656,   9063.399,  -5232.756,
 -34938.338,   9155.996,  -5286.217,
 -34635.321,   9253.852,  -5342.714,
 -34313.947,   9357.382,  -5402.487,
