time,value
657,-4.76E-01
658,-4.38E-01
659,-3.32E-01
660,-1.73E-01
661,1.55E-02
662,2.02E-01
663,3.52E-01
664,4.38E-01
665,4.43E-01
666,3.67E-01
667,2.34E-01
668,7.88E-02
669,-7.35E-02
670,-2.06E-01
671,-2.97E-01
672,-3.28E-01
673,-3.05E-01
674,-2.58E-01
675,-2.33E-01
676,-2.59E-01
677,-3.25E-01
678,-4.05E-01
679,-4.71E-01
680,-5.06E-01
681,-5.02E-01
682,-4.59E-01
683,-3.79E-01
684,-2.73E-01
685,-1.56E-01
686,-4.34E-02
687,4.80E-02
688,1.08E-01
689,1.41E-01
690,1.61E-01
691,2.02E-01
692,2.85E-01
693,4.04E-01
694,5.26E-01
695,6.09E-01
696,6.20E-01
697,5.34E-01
698,3.40E-01
699,4.64E-02
700,-3.15E-01
701,-6.89E-01
702,-1.01E+00
703,-1.20E+00
704,-1.24E+00
705,-1.14E+00
706,-9.27E-01
707,-6.65E-01
708,-4.17E-01
709,-2.28E-01
710,-1.10E-01
711,-3.96E-02
712,3.14E-02
713,1.58E-01
714,3.83E-01
715,7.15E-01
716,1.12E+00
717,1.53E+00
718,1.86E+00
719,2.04E+00
720,2.00E+00
721,1.75E+00
722,1.31E+00
723,7.48E-01
724,1.45E-01
725,-4.13E-01
726,-8.54E-01
727,-1.14E+00
728,-1.26E+00
729,-1.27E+00
730,-1.23E+00
731,-1.19E+00
732,-1.19E+00
733,-1.21E+00
734,-1.22E+00
735,-1.16E+00
736,-9.93E-01
737,-6.99E-01
738,-3.03E-01
739,1.46E-01
740,5.90E-01
741,9.78E-01
742,1.26E+00
743,1.40E+00
744,1.39E+00
745,1.24E+00
746,9.97E-01
747,7.01E-01
748,3.92E-01
749,9.80E-02
750,-1.66E-01
751,-3.93E-01
752,-5.73E-01
753,-7.03E-01
754,-7.80E-01
755,-8.06E-01
756,-7.83E-01
757,-7.12E-01
758,-5.89E-01
759,-4.06E-01
760,-1.64E-01
761,1.18E-01
762,4.01E-01
763,6.39E-01
764,7.91E-01
765,8.33E-01
766,7.63E-01
767,6.07E-01
768,4.10E-01
769,2.13E-01
770,4.50E-02
771,-9.23E-02
772,-2.15E-01
773,-3.37E-01
774,-4.56E-01
775,-5.51E-01
776,-5.96E-01
777,-5.70E-01
778,-4.67E-01
779,-2.94E-01
780,-6.62E-02
781,2.00E-01
782,4.81E-01
783,7.40E-01
784,9.39E-01
785,1.05E+00
786,1.04E+00
787,9.32E-01
788,7.22E-01
789,4.38E-01
790,1.13E-01
791,-2.21E-01
792,-5.32E-01
793,-7.92E-01
794,-9.78E-01
795,-1.08E+00
796,-1.11E+00
797,-1.08E+00
798,-1.01E+00
799,-9.07E-01
800,-7.79E-01
801,-6.10E-01
802,-3.95E-01
803,-1.32E-01
804,1.63E-01
805,4.60E-01
806,7.26E-01
807,9.36E-01
808,1.08E+00
809,1.15E+00
810,1.15E+00
811,1.08E+00
812,9.28E-01
813,7.09E-01
814,4.27E-01
815,9.44E-02
816,-2.65E-01
817,-6.16E-01
818,-9.17E-01
819,-1.12E+00
820,-1.20E+00
821,-1.13E+00
822,-9.48E-01
823,-6.79E-01
824,-3.73E-01
825,-7.39E-02
826,1.86E-01
827,3.90E-01
828,5.35E-01
829,6.30E-01
830,6.86E-01
831,7.07E-01
832,6.88E-01
833,6.22E-01
834,5.06E-01
835,3.46E-01
836,1.52E-01
837,-6.47E-02
838,-2.96E-01
839,-5.29E-01
840,-7.45E-01
841,-9.20E-01
