item,no,ki,kj
element,595,227,231
element,596,231,235
element,597,235,239
element,598,228,232
element,599,232,236
element,600,236,240
element,601,257,241
element,602,258,242
element,603,259,243
element,604,260,244
element,605,261,245
element,606,262,246
element,607,263,247
element,608,264,248
element,609,265,249
element,610,266,250
element,611,267,251
element,612,268,252
element,613,269,253
element,614,270,254
element,615,271,255
element,616,272,256
element,617,241,242
element,618,242,243
element,619,243,244
element,620,245,246
element,621,246,247
element,622,247,248
element,623,249,250
element,624,250,251
element,625,251,252
element,626,253,254
element,627,254,255
element,628,255,256
element,629,241,245
element,630,245,249
element,631,249,253
element,632,242,246
element,633,246,250
element,634,250,254
element,635,243,247
element,636,247,251
element,637,251,255
element,638,244,248
element,639,248,252
element,640,252,256
element,641,273,257
element,642,274,258
element,643,275,259
element,644,276,260
element,645,277,261
element,646,278,262
element,647,279,263
element,648,280,264
element,649,281,265
element,650,282,266
element,651,283,267
element,652,284,268
element,653,285,269
element,654,286,270
element,655,287,271
element,656,288,272
element,657,257,258
element,658,258,259
element,659,259,260
element,660,261,262
element,661,262,263
element,662,263,264
element,663,265,266
element,664,266,267
element,665,267,268
element,666,269,270
element,667,270,271
element,668,271,272
element,669,257,261
element,670,261,265
element,671,265,269
element,672,258,262
element,673,262,266
element,674,266,270
element,675,259,263
element,676,263,267
element,677,267,271
element,678,260,264
element,679,264,268
element,680,268,272
element,681,289,273
element,682,290,274
element,683,291,275
element,684,292,276
element,685,293,277
element,686,294,278
element,687,295,279
element,688,296,280
element,689,297,281
element,690,298,282
element,691,299,283
element,692,300,284
element,693,301,285
element,694,302,286
element,695,303,287
element,696,304,288
element,697,273,274
element,698,274,275
element,699,275,276
element,700,277,278
element,701,278,279
element,702,279,280
element,703,281,282
element,704,282,283
element,705,283,284
element,706,285,286
element,707,286,287
element,708,287,288
element,709,273,277
element,710,277,281
element,711,281,285
element,712,274,278
element,713,278,282
element,714,282,286
element,715,275,279
element,716,279,283
element,717,283,287
element,718,276,280
element,719,280,284
element,720,284,288
element,721,305,289
element,722,306,290
element,723,307,291
element,724,308,292
element,725,309,293
element,726,310,294
element,727,311,295
element,728,312,296
element,729,313,297
element,730,314,298
element,731,315,299
element,732,316,300
element,733,317,301
element,734,318,302
element,735,319,303
element,736,320,304
element,737,289,290
element,738,290,291
element,739,291,292
element,740,293,294
element,741,294,295
element,742,295,296
element,743,297,298
element,744,298,299
element,745,299,300
element,746,301,302
element,747,302,303
element,748,303,304
element,749,289,293
element,750,293,297
element,751,297,301
element,752,290,294
element,753,294,298
element,754,298,302
element,755,291,295
element,756,295,299
element,757,299,303
element,758,292,296
element,759,296,300
element,760,300,304
element,761,321,305
element,762,322,306
element,763,323,307
element,764,324,308
element,765,325,309
element,766,326,310
element,767,327,311
element,768,328,312
element,769,329,313
element,770,330,314
element,771,331,315
element,772,332,316
element,773,333,317
element,774,334,318
element,775,335,319
element,776,336,320
element,777,305,306
element,778,306,307
element,779,307,308
element,780,309,310
element,781,310,311
element,782,311,312
element,783,313,314
element,784,314,315
element,785,315,316
element,786,317,318
element,787,318,319
element,788,319,320
element,789,305,309
element,790,309,313
element,791,313,317
element,792,306,310
element,793,310,314
element,794,314,318
element,795,307,311
element,796,311,315
element,797,315,319
element,798,308,312
element,799,312,316
element,800,316,320
